Fraktion/Gruppe,nichtabgegeben
Fraktionslos,0.39351851851851855
AfD,0.1357308584686775
FDP,0.12954545454545455
DIE LINKE.,0.12736056214317085
SPD,0.10385992837246319
BÜ90/GR,0.09158751696065129
CDU/CSU,0.08641290958364128
